transitions, roles, build_time, valid_run, valid_run_time, invalid_run, invalid_run_time, valid_query, invalid_query, name
10,2,1.4301247596740723,True,0.15404582023620605,False,0.16560769081115723,E<> trueGlobalLog[0].eventID == R288_e_1_ID and trueGlobalLog[1].eventID == R289_e_1_ID and trueGlobalLog[2].eventID == R288_e_0_ID and trueGlobalLog[3].eventID == R288_e_2_ID and trueGlobalLog[4].eventID == R289_e_0_ID and trueGlobalLog[5].eventID == R288_e_3_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R288_e_1_ID and trueGlobalLog[1].eventID == R289_e_1_ID and trueGlobalLog[2].eventID == R288_e_0_ID and trueGlobalLog[3].eventID == R288_e_2_ID and trueGlobalLog[4].eventID == R289_e_0_ID and trueGlobalLog[5].eventID == R289_e_1_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\19_max_5_roles_max_10_commands\19_max_5_roles_max_10_commands.json
18,4,2.8890504837036133,True,0.1925201416015625,False,283.65650606155396,E<> trueGlobalLog[0].eventID == R17_e_1_ID and trueGlobalLog[1].eventID == R18_e_1_ID and trueGlobalLog[2].eventID == R17_e_2_ID and trueGlobalLog[3].eventID == R16_e_2_ID and trueGlobalLog[4].eventID == R18_e_3_ID and trueGlobalLog[5].eventID == R16_e_1_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R17_e_1_ID and trueGlobalLog[1].eventID == R18_e_1_ID and trueGlobalLog[2].eventID == R17_e_2_ID and trueGlobalLog[3].eventID == R16_e_2_ID and trueGlobalLog[4].eventID == R18_e_3_ID and trueGlobalLog[5].eventID == R18_e_2_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\1_max_5_roles_max_10_commands\1_max_5_roles_max_10_commands.json
6,1,0.6275169849395752,True,0.10279440879821777,False,0.07855486869812012,E<> trueGlobalLog[0].eventID == R300_e_0_ID and trueGlobalLog[1].eventID == R300_e_4_ID and trueGlobalLog[2].eventID == R300_e_3_ID and trueGlobalLog[3].eventID == R300_e_5_ID and trueGlobalLog[4].eventID == R300_e_1_ID and trueGlobalLog[5].eventID == R300_e_2_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R300_e_0_ID and trueGlobalLog[1].eventID == R300_e_4_ID and trueGlobalLog[2].eventID == R300_e_3_ID and trueGlobalLog[3].eventID == R300_e_5_ID and trueGlobalLog[4].eventID == R300_e_1_ID and trueGlobalLog[5].eventID == R300_e_5_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\20_max_5_roles_max_10_commands\20_max_5_roles_max_10_commands.json
18,3,1.9351818561553955,True,0.16376924514770508,False,0.6466424465179443,E<> trueGlobalLog[0].eventID == R309_e_5_ID and trueGlobalLog[1].eventID == R309_e_0_ID and trueGlobalLog[2].eventID == R310_e_0_ID and trueGlobalLog[3].eventID == R309_e_2_ID and trueGlobalLog[4].eventID == R308_e_1_ID and trueGlobalLog[5].eventID == R310_e_1_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R309_e_5_ID and trueGlobalLog[1].eventID == R309_e_0_ID and trueGlobalLog[2].eventID == R310_e_0_ID and trueGlobalLog[3].eventID == R309_e_2_ID and trueGlobalLog[4].eventID == R308_e_1_ID and trueGlobalLog[5].eventID == R308_e_1_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\21_max_5_roles_max_10_commands\21_max_5_roles_max_10_commands.json
24,4,2.3661959171295166,True,0.2182917594909668,False,7.582551717758179,E<> trueGlobalLog[0].eventID == R331_e_0_ID and trueGlobalLog[1].eventID == R331_e_1_ID and trueGlobalLog[2].eventID == R331_e_3_ID and trueGlobalLog[3].eventID == R329_e_1_ID and trueGlobalLog[4].eventID == R328_e_6_ID and trueGlobalLog[5].eventID == R329_e_0_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R331_e_0_ID and trueGlobalLog[1].eventID == R331_e_1_ID and trueGlobalLog[2].eventID == R331_e_3_ID and trueGlobalLog[3].eventID == R329_e_1_ID and trueGlobalLog[4].eventID == R328_e_6_ID and trueGlobalLog[5].eventID == R329_e_6_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\22_max_5_roles_max_10_commands\22_max_5_roles_max_10_commands.json
3,1,0.5648753643035889,True,0.08443045616149902,False,0.09960007667541504,E<> trueGlobalLog[0].eventID == R354_e_2_ID and trueGlobalLog[1].eventID == R354_e_0_ID and trueGlobalLog[2].eventID == R354_e_1_ID and trueGlobalLog[2].orderCount != 0,E<> trueGlobalLog[0].eventID == R354_e_2_ID and trueGlobalLog[1].eventID == R354_e_0_ID and trueGlobalLog[2].eventID == R354_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\23_max_5_roles_max_10_commands\23_max_5_roles_max_10_commands.json
1,1,0.5736281871795654,True,0.08064103126525879,True,0.09421229362487793,E<> trueGlobalLog[0].eventID == R358_e_0_ID and trueGlobalLog[0].orderCount != 0,E<> trueGlobalLog[0].eventID == R358_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\24_max_5_roles_max_10_commands\24_max_5_roles_max_10_commands.json
7,1,0.5820651054382324,True,0.10068368911743164,False,0.08125829696655273,E<> trueGlobalLog[0].eventID == R361_e_2_ID and trueGlobalLog[1].eventID == R361_e_6_ID and trueGlobalLog[2].eventID == R361_e_0_ID and trueGlobalLog[3].eventID == R361_e_5_ID and trueGlobalLog[4].eventID == R361_e_4_ID and trueGlobalLog[5].eventID == R361_e_3_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R361_e_2_ID and trueGlobalLog[1].eventID == R361_e_6_ID and trueGlobalLog[2].eventID == R361_e_0_ID and trueGlobalLog[3].eventID == R361_e_5_ID and trueGlobalLog[4].eventID == R361_e_4_ID and trueGlobalLog[5].eventID == R361_e_1_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\25_max_5_roles_max_10_commands\25_max_5_roles_max_10_commands.json
22,3,2.134927749633789,True,0.15375518798828125,False,0.1099238395690918,E<> trueGlobalLog[0].eventID == R372_e_0_ID and trueGlobalLog[1].eventID == R372_e_1_ID and trueGlobalLog[2].eventID == R371_e_0_ID and trueGlobalLog[3].eventID == R371_e_1_ID and trueGlobalLog[4].eventID == R370_e_1_ID and trueGlobalLog[5].eventID == R371_e_5_ID and trueGlobalLog[5].orderCount != 0,E<> trueGlobalLog[0].eventID == R372_e_0_ID and trueGlobalLog[1].eventID == R372_e_1_ID and trueGlobalLog[2].eventID == R371_e_0_ID and trueGlobalLog[3].eventID == R371_e_1_ID and trueGlobalLog[4].eventID == R370_e_1_ID and trueGlobalLog[5].eventID == R370_e_6_ID and trueGlobalLog[5].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\26_max_5_roles_max_10_commands\26_max_5_roles_max_10_commands.json
2,1,0.5913195610046387,True,0.08944821357727051,False,0.07006144523620605,E<> trueGlobalLog[0].eventID == R396_e_0_ID and trueGlobalLog[1].eventID == R396_e_1_ID and trueGlobalLog[1].orderCount != 0,E<> trueGlobalLog[0].eventID == R396_e_0_ID and trueGlobalLog[1].eventID == R396_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\27_max_5_roles_max_10_commands\27_max_5_roles_max_10_commands.json
