transitions,roles,build_time,valid_run,valid_run_time,valid_query,name
2,2,1.017551422,True,0.099556684,E<> trueGlobalLog[0].eventID == R422_e_0_ID and trueGlobalLog[1].eventID == R421_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\43_max_5_roles_max_5_commands\43_max_5_roles_max_5_commands.json
2,1,0.486397505,True,0.094125032,E<> trueGlobalLog[0].eventID == R505_e_0_ID and trueGlobalLog[1].eventID == R505_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\52_max_5_roles_max_5_commands\52_max_5_roles_max_5_commands.json
2,1,0.508152485,True,0.093296528,E<> trueGlobalLog[0].eventID == R556_e_0_ID and trueGlobalLog[1].eventID == R556_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\58_max_5_roles_max_5_commands\58_max_5_roles_max_5_commands.json
2,1,0.452186823,True,0.092925787,E<> trueGlobalLog[0].eventID == R576_e_1_ID and trueGlobalLog[1].eventID == R576_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\60_max_5_roles_max_5_commands\60_max_5_roles_max_5_commands.json
2,2,0.977210283,True,0.097074032,E<> trueGlobalLog[0].eventID == R599_e_0_ID and trueGlobalLog[1].eventID == R600_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\63_max_5_roles_max_5_commands\63_max_5_roles_max_5_commands.json
2,2,1.017682552,True,0.095569611,E<> trueGlobalLog[0].eventID == R743_e_0_ID and trueGlobalLog[1].eventID == R742_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\78_max_5_roles_max_5_commands\78_max_5_roles_max_5_commands.json
2,1,0.546301603,True,0.096456051,E<> trueGlobalLog[0].eventID == R420_e_1_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\23_max_10_roles_max_5_commands\23_max_10_roles_max_5_commands.json
2,1,0.679871321,True,0.101934433,E<> trueGlobalLog[0].eventID == R672_e_1_ID and trueGlobalLog[1].eventID == R672_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\38_max_10_roles_max_5_commands\38_max_10_roles_max_5_commands.json
2,2,1.451550722,True,0.121576548,E<> trueGlobalLog[0].eventID == R733_e_0_ID and trueGlobalLog[1].eventID == R732_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\42_max_10_roles_max_5_commands\42_max_10_roles_max_5_commands.json
3,1,0.450695515,True,0.082540989,E<> trueGlobalLog[0].eventID == R130_e_2_ID and trueGlobalLog[1].eventID == R130_e_0_ID and trueGlobalLog[2].eventID == R130_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\10_max_5_roles_max_10_commands\10_max_5_roles_max_10_commands.json
3,1,0.567281485,True,0.081849813,E<> trueGlobalLog[0].eventID == R354_e_2_ID and trueGlobalLog[1].eventID == R354_e_0_ID and trueGlobalLog[2].eventID == R354_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\23_max_5_roles_max_10_commands\23_max_5_roles_max_10_commands.json
3,1,0.475250006,True,0.099126577,E<> trueGlobalLog[0].eventID == R1028_e_0_ID and trueGlobalLog[1].eventID == R1028_e_2_ID and trueGlobalLog[2].eventID == R1028_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\69_max_5_roles_max_10_commands\69_max_5_roles_max_10_commands.json
3,1,0.483031034,True,0.075675011,E<> trueGlobalLog[0].eventID == R1095_e_0_ID and trueGlobalLog[1].eventID == R1095_e_1_ID and trueGlobalLog[2].eventID == R1095_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\76_max_5_roles_max_10_commands\76_max_5_roles_max_10_commands.json
3,1,0.501369715,True,0.093654871,E<> trueGlobalLog[0].eventID == R167_e_0_ID and trueGlobalLog[1].eventID == R167_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\17_max_5_roles_max_5_commands\17_max_5_roles_max_5_commands.json
3,1,0.522371531,True,0.077181339,E<> trueGlobalLog[0].eventID == R171_e_2_ID and trueGlobalLog[1].eventID == R171_e_0_ID and trueGlobalLog[2].eventID == R171_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\18_max_5_roles_max_5_commands\18_max_5_roles_max_5_commands.json
3,1,0.484567642,True,0.092789888,E<> trueGlobalLog[0].eventID == R184_e_1_ID and trueGlobalLog[1].eventID == R184_e_2_ID and trueGlobalLog[2].eventID == R184_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\20_max_5_roles_max_5_commands\20_max_5_roles_max_5_commands.json
3,2,1.046601534,True,0.091292381,E<> trueGlobalLog[0].eventID == R21_e_1_ID and trueGlobalLog[1].eventID == R22_e_0_ID and trueGlobalLog[2].eventID == R21_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\2_max_5_roles_max_5_commands\2_max_5_roles_max_5_commands.json
3,1,0.469126463,True,0.08349824,E<> trueGlobalLog[0].eventID == R658_e_1_ID and trueGlobalLog[1].eventID == R658_e_2_ID and trueGlobalLog[2].eventID == R658_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\70_max_5_roles_max_5_commands\70_max_5_roles_max_5_commands.json
3,1,0.484707117,True,0.084364653,E<> trueGlobalLog[0].eventID == R688_e_1_ID and trueGlobalLog[1].eventID == R688_e_2_ID and trueGlobalLog[2].eventID == R688_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\73_max_5_roles_max_5_commands\73_max_5_roles_max_5_commands.json
3,2,1.006904602,True,0.108549356,E<> trueGlobalLog[0].eventID == R728_e_1_ID and trueGlobalLog[1].eventID == R728_e_0_ID and trueGlobalLog[2].eventID == R727_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\76_max_5_roles_max_5_commands\76_max_5_roles_max_5_commands.json
3,1,0.526267529,True,0.090589762,E<> trueGlobalLog[0].eventID == R62_e_0_ID and trueGlobalLog[1].eventID == R62_e_1_ID and trueGlobalLog[2].eventID == R62_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\7_max_5_roles_max_5_commands\7_max_5_roles_max_5_commands.json
3,1,0.550733328,True,0.112740993,E<> trueGlobalLog[0].eventID == R698_e_1_ID and trueGlobalLog[1].eventID == R698_e_0_ID and trueGlobalLog[2].eventID == R698_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_10_commands\23_max_10_roles_max_10_commands\23_max_10_roles_max_10_commands.json
3,1,0.574895382,True,0.099179506,E<> trueGlobalLog[0].eventID == R1690_e_1_ID and trueGlobalLog[1].eventID == R1690_e_0_ID and trueGlobalLog[2].eventID == R1690_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_10_commands\56_max_10_roles_max_10_commands\56_max_10_roles_max_10_commands.json
