transitions,roles,build_time,projection_time,rt
15,3,1.347071409,0,45
15,3,2.347517967,0,45
15,3,2.004497528,0,45
23,2,1.463347435,0,46
16,3,1.825099707,0,48
16,3,1.864706278,0,48
16,3,2.04865098,0.015669584,48
12,4,2.451194525,0,48
12,4,2.968193054,0.015623569,48
12,4,2.654871225,0,48
12,4,2.577497005,0,48
10,5,3.242318392,0,50
10,5,3.385100365,0.001006365,50
17,3,1.84554863,0.015589237,51
17,3,1.99082303,0,51
26,2,1.370978594,0.014507294,52
13,4,2.171174526,0,52
13,4,2.484024763,0,52
13,4,2.773363829,0,52
27,2,1.401451111,0.015625954,54
27,2,1.33310008,0,54
18,3,1.880397558,0.001045465,54
18,3,1.958798647,0,54
18,3,1.999880314,0,54
18,3,2.113483667,0,54
18,3,2.049638987,0,54
19,3,1.788471222,0,57
19,3,2.185795069,0,57
19,3,1.963012218,0.001063347,57
15,4,2.53144002,0,60
15,4,2.572464228,0.001060724,60
12,5,3.112444401,0,60
12,5,3.334079266,0,60
12,5,3.200893402,0,60
10,6,3.997062445,0,60
21,3,2.087665796,0,63
16,4,2.597640753,0.000998974,64
16,4,2.575752974,0,64
33,2,1.417024851,0,66
22,3,1.863543034,0,66
22,3,2.062494755,0,66
17,4,2.588298321,0,68
17,4,2.676900387,0,68
17,4,2.788264275,0,68
17,4,2.618223906,0.000992775,68
17,4,2.758009911,0,68
17,4,2.718862534,0,68
23,3,1.899806499,0,69
23,3,1.618937492,0.000920057,69
23,3,1.937016726,0.015634775,69
18,4,2.662900925,0.014956236,72
18,4,2.586081266,0,72
12,6,4.101937294,0,72
37,2,1.47212553,0,74
19,4,2.6710639,0,76
19,4,2.443390131,0,76
26,3,2.044372559,0,78
13,6,4.038103819,0,78
16,5,3.561549187,0,80
28,3,2.189210415,0,84
21,4,2.666429996,0,84
21,4,2.535203457,0,84
14,6,4.04032135,0.001741171,84
29,3,2.057700872,0.000542879,87
22,4,2.27109623,0,88
22,4,3.241910934,0.006533146,88
22,4,2.748628855,0,88
