delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,1,True,31,2,2,2,1,1,1,True,0.13448715209960938
E,E,E,2,True,31,2,2,2,1,1,1,True,0.12232804298400879
E,E,E,3,True,31,2,2,2,1,1,1,True,0.2713022232055664
E,E,E,4,True,31,2,2,2,1,1,1,True,0.6679890155792236
E,E,E,5,True,31,2,2,2,1,1,1,True,2.2474732398986816
E,E,E,6,True,31,2,2,2,1,1,1,True,7.119971990585327
E,E,E,7,True,31,2,2,2,1,1,1,True,23.709386825561523
